,ID,metro_kremlin,house_kremlin,sq,floor,height,price,deposit,rooms,child,animal,euro,design,cosmetic,no_rem,area_code_skl,type_h_skl
3987,273806652,1.756,1.768,358.0,1,3,3000000,3000000,5.0,1,1,0,1,0,0,6.0,1.0
4032,274270529,0.853,1.768,358.0,1,6,3000000,3000000,6.0,1,1,0,1,0,0,6.0,1.0
12428,268954105,1.315,1.768,358.0,1,6,3000000,3000000,6.0,1,1,0,0,0,0,6.0,2.0
12429,268953362,2.334,1.768,358.0,1,6,3000000,3000000,5.0,1,1,0,0,0,0,6.0,2.0
12427,251335838,2.334,2.031,320.0,2,8,2500000,2500000,4.0,1,0,0,0,0,0,6.0,4.0
12417,270977363,1.315,2.031,318.0,2,8,2500000,2500000,4.0,1,0,0,0,1,0,6.0,2.0
12534,270985600,0.593,2.031,340.0,2,8,2500000,2500000,4.0,1,1,0,1,0,0,6.0,3.0
4050,270987269,1.06,2.031,340.0,2,8,2500000,2500000,4.0,1,1,0,1,0,0,6.0,3.0
3947,274008773,8.735,0.6,254.0,6,12,1775000,1775000,3.0,1,1,0,1,0,0,6.0,3.0
15310,271305685,3.686,1.15,165.0,1,2,1500000,1500000,3.0,1,0,0,1,0,0,6.0,4.0
2675,273533363,2.454,2.454,230.1,6,6,1500000,3000000,5.0,1,1,0,1,0,0,6.0,4.0
9296,267367603,3.904,2.01,347.0,2,6,1500000,1500000,6.0,1,0,0,1,0,0,6.0,1.0
12416,272290711,1.315,1.744,300.0,5,5,1500000,1500000,5.0,1,1,1,0,0,0,6.0,4.0
15355,262610649,0.547,1.204,158.0,5,7,1500000,1500000,4.0,0,0,0,1,0,0,6.0,4.0
350,271195235,2.076,2.207,414.0,8,8,1500000,1500000,6.0,0,0,0,0,1,0,6.0,3.0
12462,153444100,2.224,1.744,300.0,5,6,1500000,1500000,5.0,1,1,0,1,0,0,6.0,1.0
12461,273973393,4.819,1.744,273.1,5,5,1500000,1200000,5.0,1,0,0,1,0,0,6.0,3.0
9312,270843684,4.999,2.01,347.0,2,6,1500000,1500000,6.0,1,0,0,1,0,0,6.0,4.0
16989,272414786,15.98,0.6,210.0,4,12,1475000,1475000,3.0,1,1,0,1,0,0,6.0,3.0
12533,269996924,1.315,1.335,350.0,4,6,1400000,1400000,6.0,1,1,0,1,0,0,6.0,4.0
12498,271311190,2.224,1.335,350.0,4,6,1400000,1400000,6.0,1,1,1,0,0,0,6.0,4.0
12425,270985003,1.315,1.744,270.0,6,6,1300000,1300000,5.0,1,1,0,0,0,0,6.0,4.0
12496,271339854,3.618,1.744,300.0,5,6,1300000,1300000,5.0,1,1,0,0,0,0,6.0,1.0
4031,273358944,2.44,1.744,305.0,5,6,1300000,1300000,5.0,0,0,0,1,0,0,6.0,4.0
4049,271846065,4.819,1.744,300.0,5,6,1300000,1300000,5.0,1,1,0,1,0,0,6.0,4.0
12532,271548829,0.593,1.744,300.0,5,5,1300000,1300000,5.0,0,0,1,0,0,0,6.0,4.0
15354,264337619,1.56,1.204,158.0,5,7,1300000,1300000,4.0,1,1,0,1,0,0,6.0,2.0
12531,271566133,1.315,3.905,200.0,8,12,1250000,1250000,4.0,1,1,1,0,0,0,6.0,2.0
15895,223314728,8.242,8.242,350.0,1,5,1200000,1200000,6.0,1,1,0,1,0,0,9.0,0.0
12530,274744372,3.618,0.761,379.0,9,9,1200000,1200000,6.0,1,1,0,1,0,0,6.0,4.0
12403,274460155,9.979,1.983,190.0,2,5,1200000,1200000,5.0,0,0,0,1,0,0,6.0,4.0
12415,271491351,3.618,1.983,190.0,2,6,1200000,1200000,5.0,1,0,0,0,0,0,6.0,4.0
2658,274545912,2.501,0.799,170.0,6,6,1200000,1200000,4.0,1,1,0,1,0,0,6.0,2.0
12444,273405242,1.315,1.694,233.0,4,7,1200000,1200000,4.0,1,0,1,0,0,0,6.0,4.0
12424,272500204,1.315,1.694,240.0,4,7,1200000,1200000,4.0,1,0,0,1,0,0,6.0,3.0
12423,272893711,2.334,1.694,233.0,3,5,1200000,1200000,4.0,0,0,0,1,0,0,6.0,4.0
4080,273813124,3.074,2.092,245.9,3,5,1100000,1100000,5.0,1,1,1,0,0,0,6.0,4.0
10038,273686301,7.526,11.636,400.0,1,4,1100000,1100000,6.0,1,0,1,0,0,0,1.0,1.0
10922,274756930,11.26,4.375,220.0,14,14,1100000,1100000,4.0,0,0,0,1,0,0,1.0,4.0
4011,274444176,2.633,2.092,250.0,3,5,1100000,1100000,5.0,1,0,0,1,0,0,6.0,4.0
12414,273719805,9.979,2.092,250.0,3,5,1100000,1100000,5.0,0,0,0,0,0,0,6.0,1.0
12402,273812412,9.979,2.092,245.0,3,6,1100000,1100000,5.0,1,1,0,1,0,0,6.0,4.0
3948,273526190,8.325,0.6,116.0,7,12,1050000,1050000,2.0,1,1,0,1,0,0,6.0,3.0
16988,262471414,15.98,0.6,147.0,3,12,1030000,1030000,3.0,1,1,0,1,0,0,6.0,3.0
13957,164743452,13.184,10.597,342.0,2,4,1000000,1000000,6.0,1,0,0,1,0,0,1.0,3.0
435,251764517,2.537,2.537,184.0,4,5,1000000,1000000,4.0,1,1,1,0,0,0,6.0,2.0
6066,268833921,2.74,1.671,332.0,7,7,1000000,1000000,4.0,1,0,1,0,0,0,6.0,1.0
13831,224335718,15.351,10.597,342.0,2,4,1000000,1000000,6.0,1,1,1,0,0,0,1.0,4.0
13953,265040112,12.515,10.597,342.0,2,4,1000000,1000000,6.0,1,1,1,0,0,0,1.0,4.0
3589,265647197,13.184,10.597,342.0,2,4,1000000,1000000,6.0,1,1,0,1,0,0,1.0,3.0
3590,274549588,3.602,2.963,231.0,11,13,1000000,1000000,5.0,1,1,0,1,0,0,1.0,4.0
13955,265194213,13.184,10.597,342.8,2,4,1000000,1000000,6.0,1,1,0,1,0,0,1.0,4.0
13954,260167185,13.184,10.597,342.0,2,4,1000000,1000000,6.0,1,0,0,1,0,0,6.0,2.0
6008,268823960,5.102,1.671,360.0,5,5,1000000,1000000,5.0,1,1,1,0,0,0,6.0,4.0
9849,272086585,7.699,5.47,250.0,3,8,1000000,1000000,5.0,0,0,0,1,0,0,9.0,2.0
12494,267058185,1.315,3.188,430.0,6,6,1000000,1000000,4.0,1,0,0,1,0,0,1.0,4.0
13956,271021933,13.184,10.597,345.0,2,4,1000000,1000000,6.0,0,0,0,1,0,0,1.0,3.0
3556,268035899,8.242,2.963,231.0,11,12,990000,990000,5.0,1,1,0,1,0,0,1.0,1.0
318,258854289,1.957,1.957,170.0,4,5,950000,950000,4.0,1,1,0,0,0,0,6.0,1.0
349,229440304,2.076,2.076,184.0,4,5,950000,950000,4.0,1,0,0,1,0,0,6.0,2.0
2854,274013412,11.771,9.592,300.0,6,7,900000,900000,4.0,1,1,0,1,0,0,1.0,3.0
9360,271729425,4.891,1.924,156.0,5,9,900000,900000,5.0,0,0,0,1,0,0,6.0,1.0
2863,274198717,14.143,9.592,300.0,6,7,900000,900000,4.0,1,1,0,1,0,0,1.0,4.0
15431,274551312,1.315,1.642,273.0,7,11,875000,1750000,4.0,1,0,0,1,0,0,6.0,3.0
15267,272641035,16.496,1.642,273.0,8,10,875000,1750000,4.0,1,1,0,1,0,0,6.0,4.0
15353,272883505,1.56,1.642,232.0,7,10,875000,875000,4.0,0,0,1,0,0,0,6.0,2.0
4079,273360449,4.891,0.729,120.0,5,7,850000,850000,2.0,0,0,0,1,0,0,6.0,4.0
12437,272813661,2.334,0.729,150.0,3,7,850000,850000,3.0,1,0,0,1,0,0,6.0,3.0
23,223918678,0.593,1.275,255.6,8,9,850000,850000,5.0,1,1,1,0,0,0,6.0,3.0
42,239000331,1.315,1.275,250.0,8,9,850000,850000,5.0,0,1,0,0,0,0,6.0,2.0
12460,174687738,1.315,0.729,122.0,5,7,850000,850000,2.0,1,1,0,1,0,0,6.0,3.0
13952,232057368,13.184,13.184,330.0,1,2,800000,800000,6.0,1,1,1,0,0,0,1.0,4.0
15309,271305611,3.686,1.058,110.0,6,7,800000,800000,2.0,0,0,0,1,0,0,6.0,4.0
12413,274533621,9.979,2.875,151.0,5,8,800000,800000,3.0,0,0,0,1,0,0,6.0,4.0
7217,271080671,2.466,2.01,140.0,2,6,800000,800000,2.0,0,0,0,0,0,0,6.0,2.0
12422,272046554,2.224,2.795,150.9,5,7,800000,800000,3.0,0,1,0,0,0,0,6.0,2.0
15351,265366925,2.29,2.009,190.0,4,16,750000,750000,4.0,1,1,0,1,0,0,6.0,3.0
6157,170845111,6.465,2.218,250.0,3,10,750000,750000,5.0,1,1,1,0,0,0,6.0,4.0
15270,264525761,16.496,2.009,189.0,2,13,750000,750000,4.0,1,1,0,0,0,0,6.0,4.0
3995,274242716,2.44,1.772,130.0,2,8,750000,750000,3.0,1,0,0,1,0,0,6.0,4.0
17106,269931310,2.44,0.534,220.0,5,5,750000,750000,3.0,1,1,1,0,0,0,6.0,2.0
19090,271134239,13.515,13.515,240.0,4,6,750000,750000,5.0,1,0,1,0,0,0,5.0,4.0
19092,271297671,13.804,13.804,240.0,4,5,750000,750000,5.0,1,0,0,1,0,0,3.0,4.0
15394,265384677,2.29,2.009,169.0,2,17,750000,750000,4.0,1,1,0,1,0,0,6.0,4.0
15350,266973294,1.668,2.009,169.0,2,12,750000,750000,4.0,1,1,0,1,0,0,6.0,4.0
15352,264418529,1.56,2.009,169.0,2,12,750000,750000,4.0,1,1,0,1,0,0,6.0,3.0
3959,272299610,5.109,2.009,185.0,4,16,750000,750000,4.0,0,0,0,1,0,0,6.0,4.0
348,271740344,0.853,1.371,218.0,4,5,750000,750000,6.0,1,1,1,0,0,0,6.0,4.0
9359,274836530,4.999,1.772,130.0,2,8,750000,750000,3.0,0,0,0,1,0,0,6.0,3.0
13951,189070591,12.515,10.889,305.0,2,2,750000,750000,6.0,1,1,1,0,0,0,1.0,3.0
15308,273898412,1.668,1.668,299.0,20,20,750000,750000,5.0,1,0,1,0,0,0,9.0,3.0
3993,272186859,4.891,1.772,130.0,2,8,750000,750000,3.0,1,1,0,1,0,0,6.0,3.0
4078,269582874,3.904,1.772,127.0,2,8,750000,750000,3.0,1,1,0,0,0,0,6.0,4.0
3962,272389204,1.868,0.534,220.0,5,5,750000,750000,3.0,1,1,0,1,0,0,6.0,4.0
3961,259751500,2.44,2.44,170.0,4,16,750000,750000,4.0,1,1,0,1,0,0,6.0,4.0
15429,271627580,3.686,2.009,170.0,4,16,750000,700000,4.0,1,1,0,1,0,0,6.0,3.0
15375,272655429,1.56,2.009,190.0,2,17,750000,750000,4.0,1,1,0,1,0,0,6.0,3.0
15348,262462349,1.668,2.009,190.0,2,16,750000,750000,4.0,1,1,0,1,0,0,6.0,3.0
3997,269478011,1.06,1.772,127.0,2,8,750000,750000,3.0,1,1,0,1,0,0,6.0,4.0
13849,272900306,13.184,10.889,305.0,2,2,750000,750000,6.0,1,1,0,1,0,0,1.0,4.0
12459,274211695,4.819,2.031,190.0,3,7,750000,750000,4.0,0,0,0,1,0,0,6.0,4.0
12433,272072640,1.315,0.729,180.0,4,7,750000,750000,2.0,1,1,0,1,0,0,6.0,3.0
15430,259409632,0.547,2.009,190.0,2,16,750000,750000,4.0,1,0,1,0,0,0,6.0,3.0
15266,263317410,16.671,2.009,189.0,2,11,750000,750000,4.0,1,1,1,0,0,0,6.0,3.0
7214,273393237,13.722,2.328,275.0,9,9,750000,750000,6.0,1,0,1,0,0,0,6.0,2.0
12443,272263730,1.315,2.031,190.0,3,8,750000,750000,4.0,1,1,0,1,0,0,6.0,4.0
11272,273485625,11.759,7.797,176.0,7,10,750000,800000,3.0,0,0,0,1,0,0,3.0,3.0
17003,266972998,0.711,2.794,235.0,9,11,750000,750000,5.0,1,1,0,1,0,0,6.0,4.0
19091,272716584,10.801,10.801,240.0,4,6,750000,750000,5.0,0,1,0,0,0,0,3.0,4.0
28,228923308,0.593,1.275,256.0,8,10,750000,750000,5.0,1,1,0,1,0,0,6.0,2.0
15349,259699575,1.668,2.009,190.0,4,17,750000,750000,4.0,1,1,1,0,0,0,6.0,4.0
12869,270252916,5.905,7.797,177.0,5,10,750000,750000,3.0,1,1,0,1,0,0,3.0,3.0
5249,274455082,15.84,15.84,310.0,4,6,700000,700000,5.0,1,1,1,0,0,0,5.0,4.0
3963,274341456,2.29,1.591,140.0,4,8,700000,700000,4.0,1,0,0,1,0,0,6.0,4.0
9281,274320481,3.904,1.591,140.0,4,8,700000,1400000,4.0,1,0,0,1,0,0,6.0,4.0
76,273785185,0.593,2.059,140.0,25,26,700000,700000,4.0,1,1,1,0,0,0,6.0,4.0
10435,274578636,10.07,10.07,186.0,13,16,700000,700000,4.0,1,0,0,1,0,0,1.0,2.0
3960,274145384,3.074,1.591,140.0,4,8,700000,700000,4.0,1,0,1,0,0,0,6.0,4.0
15307,274216802,0.547,1.642,234.0,5,10,700000,700000,4.0,1,1,0,1,0,0,6.0,4.0
15289,262392189,1.668,1.642,232.0,5,10,700000,700000,4.0,1,0,0,0,0,0,6.0,3.0
15347,273123682,1.668,1.668,290.0,20,20,700000,700000,5.0,1,1,0,1,0,0,9.0,3.0
3505,264495315,6.686,5.71,186.0,13,16,700000,700000,4.0,1,0,0,0,0,0,1.0,4.0
12529,273448853,0.547,2.031,164.0,6,9,700000,700000,3.0,0,0,1,0,0,0,6.0,2.0
3555,274541388,15.235,7.625,150.0,1,3,700000,790000,3.0,1,1,0,1,0,0,1.0,1.0
15273,271446200,16.496,1.642,234.0,5,10,700000,700000,4.0,1,0,0,0,0,0,6.0,2.0
15428,272378937,0.547,1.642,234.0,5,10,700000,700000,4.0,1,0,0,1,0,0,6.0,3.0
2647,242618535,2.454,1.463,170.0,8,10,700000,700000,5.0,1,1,0,0,0,0,6.0,2.0
317,272284525,0.853,1.371,220.0,4,5,700000,700000,6.0,1,0,0,0,0,0,6.0,4.0
6065,269223275,1.053,2.111,400.0,8,8,700000,700000,6.0,1,1,1,0,0,0,6.0,1.0
18975,266533620,18.912,18.912,310.0,4,5,700000,700000,5.0,0,0,1,0,0,0,3.0,4.0
2705,244500393,1.294,1.55,255.0,2,3,700000,700000,6.0,1,1,1,0,0,0,6.0,4.0
17265,273673272,10.914,10.732,74.0,24,24,700000,70000,3.0,1,1,0,0,1,0,0.0,5.0
17105,273741461,3.312,2.197,260.0,6,12,700000,700000,5.0,1,1,0,1,0,0,6.0,4.0
12480,272888196,4.819,1.349,178.0,3,5,700000,700000,5.0,1,1,0,1,0,0,6.0,4.0
6122,269048945,1.756,2.111,400.0,9,11,700000,700000,6.0,1,1,0,0,1,0,6.0,4.0
6121,274884841,1.868,2.111,400.0,8,8,700000,700000,6.0,0,0,1,0,0,0,6.0,3.0
11330,274930921,5.905,8.031,323.3,6,17,700000,700000,6.0,1,1,0,1,0,0,3.0,4.0
19089,271497271,10.801,10.801,320.0,4,6,700000,700000,5.0,1,0,0,1,0,0,3.0,3.0
64,274810876,2.224,2.224,215.0,5,5,700000,700000,4.0,0,0,1,0,0,0,6.0,1.0
